experience,country,education,languages,frameworks,company_size,salary_usd
9,USA,Bachelors,"C#, PHP","Flask, ASP.NET",Nov-50,136757
22,Australia,Masters,"Java, C++","Flask, Laravel",201-1000,131022
25,India,Bachelors,"C#, Ruby","Ruby on Rails, Vue",5000+,96045
40,Germany,Bachelors,"PHP, Go","Laravel, Ruby on Rails",51-200,205765
25,Canada,Bachelors,"Ruby, PHP","React, Angular",5000+,128108
3,Australia,Bachelors,"Ruby, C++","Flask, Ruby on Rails",10-Jan,57468
36,USA,Bachelors,"Python, Java","Django, React",1001-5000,192377
2,USA,Masters,"Python, Java","Express, ASP.NET",10-Jan,116633
11,France,Bachelors,"PHP, Rust","Express, ASP.NET",1001-5000,96152
38,Japan,Bachelors,"JavaScript, C++","ASP.NET, Ruby on Rails",10-Jan,189201
16,India,Bachelors,"Swift, Java","Flask, Express",201-1000,62006
29,USA,Masters,"C++, Java","Ruby on Rails, ASP.NET",201-1000,151505
2,USA,High School,"C++, C++","Spring, Angular",201-1000,78047
32,USA,Masters,"JavaScript, C#","ASP.NET, Express",201-1000,182834
37,USA,Some College,"Python, JavaScript","Ruby on Rails, Laravel",10-Jan,237488
2,Australia,Bachelors,"C#, Go","Angular, Vue",1001-5000,55255
8,Germany,Masters,"Swift, Rust","Spring, Express",51-200,98177
7,Japan,Bachelors,"C#, PHP","Django, Express",5000+,73884
40,Singapore,Bachelors,"Ruby, Rust","Flask, Django",5000+,182648
16,USA,Some College,"PHP, Python","React, Spring",201-1000,143043
36,UK,Masters,"JavaScript, Swift","ASP.NET, Django",Nov-50,158584
23,USA,Some College,"JavaScript, Java","Angular, Ruby on Rails",1001-5000,189326
16,France,Some College,"Python, C#","Flask, Ruby on Rails",10-Jan,100237
24,USA,Bachelors,"Python, C++","React, Flask",1001-5000,183756
38,USA,Bachelors,"PHP, Swift","Spring, Ruby on Rails",51-200,201692
28,India,Bachelors,"PHP, PHP","Ruby on Rails, Vue",51-200,99325
11,USA,Bachelors,"Rust, C++","Django, Spring",5000+,162421
24,Singapore,High School,"Ruby, Ruby","Flask, Express",201-1000,126539
18,USA,Bachelors,"Python, JavaScript","Angular, Flask",51-200,137741
27,USA,Bachelors,"Java, PHP","Express, ASP.NET",Nov-50,199218
36,USA,High School,"Swift, Go","Django, Ruby on Rails",1001-5000,207784
37,Japan,Masters,"Rust, PHP","Ruby on Rails, Spring",51-200,183647
23,USA,Bachelors,"C#, C++","Spring, React",1001-5000,189265
31,India,Bachelors,"C++, C++","Ruby on Rails, Django",1001-5000,110956
10,India,Bachelors,"C++, C++","Ruby on Rails, Express",51-200,53774
14,Australia,Bachelors,"Ruby, Java","Express, Django",5000+,126878
27,Germany,Bachelors,"Rust, Go","Flask, ASP.NET",10-Jan,156383
1,USA,Some College,"C++, Go","ASP.NET, Flask",10-Jan,111190
23,France,Bachelors,"C#, C#","Spring, ASP.NET",1001-5000,120609
13,USA,Bachelors,"Ruby, Java","Ruby on Rails, Spring",10-Jan,150020
11,USA,Bachelors,"Python, C#","Express, Express",51-200,124187
7,UK,High School,"JavaScript, JavaScript","Vue, Flask",201-1000,93605
20,USA,Bachelors,"C#, PHP","Vue, Ruby on Rails",10-Jan,151649
18,UK,Some College,"C#, C++","Express, Django",51-200,105789
20,Germany,Masters,"C++, JavaScript","Flask, Express",1001-5000,122138
26,USA,Bachelors,"PHP, Ruby","React, Flask",201-1000,164339
16,USA,Some College,"JavaScript, C++","Vue, Flask",5000+,134149
6,USA,Bachelors,"C#, Java","ASP.NET, Ruby on Rails",51-200,102770
27,Japan,Bachelors,"C#, Go","Spring, Django",1001-5000,120609
6,UK,Masters,"PHP, Python","ASP.NET, Laravel",51-200,72125
22,France,Masters,"PHP, Ruby","Django, Express",201-1000,135202
20,UK,Some College,"Ruby, JavaScript","Express, React",1001-5000,126818
5,UK,Masters,"PHP, Java","ASP.NET, Vue",10-Jan,69426
3,USA,Masters,"Rust, PHP","Spring, ASP.NET",51-200,99746
21,Canada,Bachelors,"PHP, PHP","Angular, Vue",10-Jan,112612
35,India,Bachelors,"C#, Java","ASP.NET, Django",51-200,141385
17,UK,Bachelors,"Ruby, PHP","Laravel, Flask",5000+,118005
34,Germany,Bachelors,"Rust, Java","Flask, Laravel",Nov-50,153545
2,USA,High School,"PHP, Java","Django, Angular",51-200,91083
29,Germany,Bachelors,"PHP, C++","Ruby on Rails, ASP.NET",51-200,139216
29,Germany,Bachelors,"Ruby, PHP","Vue, Django",51-200,125029
26,USA,Bachelors,"Python, Python","Laravel, Spring",1001-5000,177400
12,India,Masters,"Go, JavaScript","Vue, Express",51-200,71437
33,Canada,Bachelors,"Go, PHP","Flask, Laravel",51-200,168455
21,France,Bachelors,"C#, PHP","Ruby on Rails, Spring",10-Jan,107271
12,USA,Bachelors,"C++, PHP","Django, Django",51-200,121515
4,India,Bachelors,"Go, Ruby","React, Ruby on Rails",51-200,21700
23,USA,High School,"Swift, PHP","Angular, Django",51-200,176177
26,Japan,Masters,"Python, JavaScript","Spring, Ruby on Rails",1001-5000,153637
13,France,Some College,"Python, Rust","Ruby on Rails, React",1001-5000,75150
38,Brazil,Bachelors,"Ruby, C++","Angular, Vue",51-200,167488
18,France,Masters,"Ruby, Java","Spring, Ruby on Rails",Nov-50,131671
11,Japan,Bachelors,"C++, Ruby","Vue, Laravel",1001-5000,68513
37,Germany,Bachelors,"Ruby, Swift","Ruby on Rails, Vue",51-200,152916
11,USA,Bachelors,"PHP, Swift","ASP.NET, Flask",51-200,135497
38,USA,Some College,"Ruby, C#","Angular, ASP.NET",201-1000,213901
15,India,High School,"PHP, Java","Angular, Spring",5000+,76967
8,USA,Bachelors,"Rust, C#","ASP.NET, Ruby on Rails",51-200,97641
1,USA,PhD,"C#, PHP","Flask, Spring",51-200,111834
21,Australia,Bachelors,"Java, JavaScript","Express, Express",1001-5000,117880
33,USA,Masters,"JavaScript, Rust","Vue, Django",201-1000,171323
25,USA,Masters,"Rust, Swift","Angular, ASP.NET",10-Jan,155268
36,USA,Masters,"C++, Python","React, Ruby on Rails",5000+,202214
22,UK,Masters,"PHP, C#","React, Ruby on Rails",5000+,155524
6,India,Bachelors,"Python, Swift","Vue, Angular",201-1000,32184
10,UK,Some College,"Ruby, JavaScript","Angular, Laravel",10-Jan,98614
30,France,Masters,"C++, Java","Laravel, Express",Nov-50,166430
9,Germany,Bachelors,"PHP, JavaScript","Spring, Express",5000+,116083
15,Germany,Bachelors,"PHP, C++","Express, Flask",Nov-50,118788
0,USA,Some College,"Rust, Java","ASP.NET, Vue",Nov-50,80550
26,Canada,Bachelors,"C#, Rust","Express, Flask",5000+,170598
26,India,PhD,"Ruby, C#","Spring, Spring",Nov-50,107530
39,Singapore,Bachelors,"Swift, Ruby","React, Spring",51-200,145121
29,UK,Masters,"Java, C#","Vue, Spring",51-200,187673
37,USA,High School,"Python, C#","ASP.NET, Spring",1001-5000,225720
11,USA,Masters,"C#, PHP","Vue, Angular",5000+,124412
4,Germany,Masters,"JavaScript, C++","Spring, Vue",Nov-50,78884
11,India,Bachelors,"Python, Ruby","ASP.NET, React",51-200,39644
12,Germany,Masters,"Swift, Java","Vue, Vue",1001-5000,100256
28,France,Bachelors,"Java, JavaScript","Express, React",Nov-50,154150
18,Germany,Bachelors,"Swift, JavaScript","Spring, Django",51-200,102503
3,Brazil,Bachelors,"Go, JavaScript","Laravel, React",201-1000,60492
20,UK,Some College,"C#, Swift","Spring, React",Nov-50,132417
23,USA,Some College,"C#, Python","ASP.NET, Spring",201-1000,145904
37,India,High School,"Ruby, PHP","ASP.NET, Express",51-200,147351
33,USA,PhD,"JavaScript, Ruby","Spring, React",1001-5000,198251
9,Canada,Masters,"C++, PHP","Angular, Django",51-200,113027
20,Canada,Masters,"PHP, PHP","Vue, ASP.NET",Nov-50,120071
9,France,Bachelors,"Rust, Java","Express, Django",51-200,90469
28,USA,Masters,"C++, JavaScript","Angular, ASP.NET",1001-5000,196776
19,Canada,Bachelors,"C#, Python","React, ASP.NET",5000+,143788
17,USA,PhD,"Go, C#","Laravel, Vue",1001-5000,193045
6,Canada,Bachelors,"C++, Ruby","Express, Spring",5000+,95330
9,UK,Masters,"JavaScript, Swift","React, Vue",201-1000,84838
30,USA,PhD,"Swift, C++","Laravel, Spring",51-200,199331
15,India,Some College,"Ruby, C++","Flask, Django",1001-5000,64191
0,Germany,Some College,"JavaScript, Python","Ruby on Rails, Laravel",Nov-50,49808
28,Germany,Masters,"Ruby, PHP","ASP.NET, Flask",Nov-50,161947
26,UK,Bachelors,"PHP, PHP","Django, Laravel",51-200,126042
6,USA,Bachelors,"Go, C++","Vue, Spring",1001-5000,107531
11,Japan,Some College,"Java, C++","Angular, Vue",201-1000,85594
21,USA,Bachelors,"Swift, Go","Spring, Vue",51-200,144270
5,USA,Some College,"PHP, PHP","Flask, Flask",5000+,96948
13,USA,Masters,"JavaScript, C++","React, Django",10-Jan,116015
23,France,Bachelors,"Go, PHP","Ruby on Rails, Vue",5000+,135012
9,India,Masters,"Java, C#","Flask, Angular",51-200,47155
2,USA,Some College,"JavaScript, C++","Spring, React",10-Jan,79654
3,Canada,Masters,"C#, C++","ASP.NET, Django",51-200,70481
37,UK,Bachelors,"Java, Python","Django, Angular",1001-5000,201069
36,France,Bachelors,"PHP, JavaScript","Angular, Express",51-200,153874
34,Japan,Bachelors,"JavaScript, Python","Ruby on Rails, Laravel",51-200,125838
3,USA,High School,"Go, JavaScript","Express, React",201-1000,94363
23,Germany,Bachelors,"Java, C++","Express, Spring",201-1000,113603
21,Singapore,Masters,"Java, Rust","Express, Django",5000+,144984
36,Australia,Bachelors,"Rust, Go","Flask, Vue",5000+,158904
22,USA,Masters,"C#, Rust","Laravel, Spring",1001-5000,145741
36,India,Bachelors,"C++, Go","Laravel, Express",10-Jan,114592
5,UK,Bachelors,"PHP, Go","Spring, Express",51-200,78385
31,USA,Bachelors,"Swift, PHP","Vue, Angular",51-200,147794
16,UK,Masters,"Swift, Java","Laravel, Flask",5000+,111331
4,USA,Bachelors,"Rust, Swift","Laravel, Express",Nov-50,105314
37,Germany,Some College,"PHP, Python","Angular, Spring",Nov-50,148727
27,USA,Bachelors,"C#, Rust","Flask, Vue",10-Jan,168764
19,USA,High School,"Java, Ruby","Laravel, Ruby on Rails",10-Jan,174159
0,India,Masters,"C++, PHP","Laravel, Express",1001-5000,29590
23,UK,Masters,"Python, Java","Angular, Vue",51-200,112337
32,USA,Bachelors,"JavaScript, C++","React, Express",51-200,175473
5,France,Masters,"Python, Swift","Angular, Django",5000+,105129
16,Canada,Masters,"PHP, JavaScript","Django, Django",5000+,145016
19,USA,Masters,"Java, Java","Express, ASP.NET",1001-5000,130945
18,USA,Masters,"Swift, C++","ASP.NET, Spring",51-200,170604
8,USA,Bachelors,"Go, Rust","Django, Express",10-Jan,118423
39,India,Some College,"Go, Java","React, Spring",1001-5000,155135
40,India,Bachelors,"PHP, Swift","Flask, Express",1001-5000,113856
33,USA,Some College,"PHP, C++","Vue, Vue",51-200,203258
4,Canada,Masters,"Java, C++","Express, ASP.NET",1001-5000,67678
16,UK,PhD,"C++, Ruby","Ruby on Rails, Laravel",10-Jan,145557
17,France,Some College,"Python, Ruby","Angular, Flask",10-Jan,102691
12,India,Masters,"Python, Rust","Vue, Django",1001-5000,51386
26,USA,Bachelors,"C#, JavaScript","Ruby on Rails, Express",5000+,194976
35,Canada,Bachelors,"Rust, JavaScript","Laravel, Ruby on Rails",201-1000,197255
1,USA,Bachelors,"Rust, Python","Express, Express",1001-5000,96272
36,Australia,Bachelors,"Java, Swift","Flask, Flask",201-1000,174427
34,USA,Some College,"Rust, Python","Ruby on Rails, Spring",Nov-50,224008
25,UK,Some College,"Swift, JavaScript","Express, Spring",5000+,145657
4,Canada,Masters,"Go, Java","Ruby on Rails, Express",201-1000,84805
14,USA,Masters,"PHP, Java","Django, Angular",201-1000,170079
31,Germany,Bachelors,"Java, Java","Express, Spring",201-1000,123878
34,India,Bachelors,"C++, Java","Vue, Laravel",Nov-50,138575
21,Singapore,Bachelors,"Go, PHP","Ruby on Rails, Django",Nov-50,114341
2,USA,PhD,"C++, Swift","Spring, Flask",1001-5000,97364
22,Canada,Bachelors,"Java, Rust","ASP.NET, Spring",5000+,131896
18,France,Some College,"Rust, C++","Flask, Spring",201-1000,123751
34,Brazil,Bachelors,"PHP, C#","Spring, Ruby on Rails",1001-5000,163239
18,USA,PhD,"Go, JavaScript","Express, Spring",5000+,150202
22,India,Masters,"Java, Java","Laravel, Ruby on Rails",5000+,111024
14,USA,Masters,"PHP, C#","Ruby on Rails, Django",5000+,159222
32,Germany,Bachelors,"Swift, Ruby","Laravel, Django",51-200,165846
31,Germany,PhD,"C++, PHP","Express, Flask",1001-5000,192191
8,USA,Bachelors,"Rust, PHP","Django, Laravel",Nov-50,125628
29,UK,Masters,"Rust, PHP","Spring, Ruby on Rails",Nov-50,125967
13,USA,Masters,"Python, Swift","Vue, Angular",1001-5000,160872
13,USA,Bachelors,"Java, JavaScript","Flask, Ruby on Rails",51-200,148493
14,USA,Bachelors,"Java, PHP","Ruby on Rails, Flask",10-Jan,108826
28,Australia,Bachelors,"PHP, C++","Flask, Flask",Nov-50,132444
30,UK,Bachelors,"PHP, Ruby","React, React",1001-5000,144290
25,UK,Some College,"Ruby, C++","Laravel, ASP.NET",5000+,129226
35,Canada,Some College,"Rust, C++","Angular, Spring",51-200,135198
15,Australia,Bachelors,"PHP, Ruby","Django, ASP.NET",5000+,123423
10,UK,Bachelors,"C#, PHP","Angular, Laravel",5000+,100309
5,UK,Masters,"JavaScript, Ruby","Ruby on Rails, ASP.NET",51-200,70340
14,Japan,Masters,"Swift, Rust","Vue, Vue",5000+,111325
4,India,Bachelors,"JavaScript, C#","Express, Vue",51-200,26082
37,USA,Some College,"PHP, Java","Flask, React",1001-5000,211862
27,UK,Some College,"Python, Ruby","React, Flask",5000+,167000
9,USA,Bachelors,"JavaScript, C++","Ruby on Rails, Flask",10-Jan,139266
40,USA,High School,"C++, Go","Ruby on Rails, Angular",51-200,185252
21,Canada,Masters,"Python, Python","Django, Express",1001-5000,155624
30,USA,Bachelors,"Swift, Python","Angular, Angular",201-1000,170846
31,Canada,PhD,"PHP, Java","Ruby on Rails, Vue",201-1000,169638
28,USA,Bachelors,"Ruby, Go","React, Spring",201-1000,190500
16,India,Bachelors,"Java, Swift","Spring, Express",5000+,86944
3,Canada,Some College,"JavaScript, Rust","Vue, Spring",5000+,76336
18,Germany,Bachelors,"C++, Java","Laravel, Ruby on Rails",10-Jan,97560
28,Germany,Bachelors,"JavaScript, Go","React, React",Nov-50,125506
34,Germany,Bachelors,"Go, Java","Flask, Laravel",1001-5000,145603
27,USA,Masters,"Rust, Java","Django, Flask",1001-5000,154026
40,USA,Masters,"JavaScript, Go","ASP.NET, Vue",1001-5000,245645
8,Canada,Bachelors,"Ruby, Java","Vue, Ruby on Rails",1001-5000,84757
27,India,High School,"Go, Java","Django, Django",Nov-50,87020
13,USA,Masters,"C#, Python","React, Laravel",1001-5000,134816
28,USA,Masters,"JavaScript, C#","Ruby on Rails, Flask",201-1000,159607
8,Australia,Some College,"Java, Python","Flask, Spring",1001-5000,78625
35,Australia,Masters,"Ruby, Ruby","Express, Laravel",5000+,205866
24,Australia,Masters,"Ruby, Java","Angular, Ruby on Rails",51-200,125444
0,India,PhD,"Ruby, Ruby","Spring, Django",51-200,29053
2,Canada,Bachelors,"PHP, PHP","Ruby on Rails, Express",51-200,66823
17,Canada,Bachelors,"Java, Python","Flask, Angular",Nov-50,98650
33,UK,Bachelors,"Rust, C#","React, Ruby on Rails",10-Jan,189119
33,Canada,Bachelors,"Java, Go","Angular, React",5000+,155593
22,UK,Bachelors,"Ruby, Java","Vue, Django",1001-5000,109817
27,UK,High School,"PHP, C#","Django, React",Nov-50,142868
1,Germany,Bachelors,"C++, Java","ASP.NET, Ruby on Rails",Nov-50,53111
31,USA,Masters,"Ruby, Go","Ruby on Rails, React",Nov-50,165940
15,USA,Masters,"Ruby, PHP","Vue, Laravel",10-Jan,156865
8,USA,Bachelors,"Swift, Java","Vue, Flask",201-1000,119876
35,Canada,Some College,"Ruby, C#","Express, Ruby on Rails",201-1000,134003
19,Canada,Bachelors,"PHP, Go","Flask, React",201-1000,101549
31,USA,Bachelors,"Swift, PHP","Angular, Express",10-Jan,156340
39,France,Bachelors,"Swift, Go","Ruby on Rails, Laravel",5000+,156273
3,USA,Masters,"Rust, Python","Express, React",Nov-50,121247
37,India,High School,"Python, C++","Ruby on Rails, Angular",201-1000,145326
39,Canada,Bachelors,"Python, JavaScript","React, Ruby on Rails",5000+,209510
4,Japan,Masters,"Go, JavaScript","React, Vue",5000+,84974
4,Germany,Masters,"Swift, C++","Spring, ASP.NET",51-200,66207
14,India,Bachelors,"Ruby, Ruby","Django, Flask",10-Jan,47921
16,Germany,Masters,"C++, C#","Angular, Ruby on Rails",10-Jan,135513
22,USA,Bachelors,"Rust, JavaScript","Laravel, Django",5000+,144753
33,UK,Bachelors,"Swift, PHP","Django, Express",10-Jan,132397
37,Germany,Bachelors,"Go, Ruby","Spring, Angular",51-200,170631
3,USA,Bachelors,"Rust, JavaScript","Django, Express",1001-5000,94295
36,Singapore,Bachelors,"PHP, Ruby","Express, ASP.NET",51-200,181394
9,UK,Masters,"Go, Python","Angular, Angular",201-1000,107475
0,USA,Masters,"JavaScript, JavaScript","Laravel, Laravel",5000+,96750
4,UK,Masters,"Python, JavaScript","Vue, Django",51-200,98050
35,India,Some College,"Rust, Swift","Ruby on Rails, ASP.NET",1001-5000,133269
10,France,Bachelors,"Java, JavaScript","Angular, ASP.NET",1001-5000,91020
34,Germany,Some College,"Python, Ruby","Express, Express",10-Jan,188087
26,UK,Bachelors,"Rust, Rust","React, Laravel",Nov-50,149119
10,Canada,Bachelors,"Ruby, Swift","Laravel, Flask",10-Jan,95505
36,USA,Some College,"Swift, Java","ASP.NET, Vue",5000+,172901
29,India,Masters,"Go, PHP","ASP.NET, Vue",10-Jan,92061
12,Australia,Bachelors,"Python, PHP","Spring, Django",10-Jan,79122
14,Japan,Bachelors,"PHP, Ruby","Ruby on Rails, Django",10-Jan,79426
14,USA,Bachelors,"Java, Ruby","Express, Spring",201-1000,131923
6,Brazil,Bachelors,"Ruby, Ruby","Ruby on Rails, Flask",201-1000,73898
31,UK,Bachelors,"Swift, Swift","Spring, Flask",10-Jan,172753
25,USA,Some College,"Go, Java","Flask, Django",51-200,138120
18,Australia,Masters,"C++, Ruby","React, Express",Nov-50,111547
7,France,Bachelors,"C++, C#","Spring, ASP.NET",1001-5000,71776
8,USA,Bachelors,"Swift, C#","Ruby on Rails, Laravel",Nov-50,122945
